player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Zach Ertz,WAS,receiving,401772936,6,64,10.7,1,20,8
Terry McLaurin,WAS,receiving,401772936,5,48,9.6,0,14,9
Deebo Samuel,WAS,receiving,401772936,7,44,6.3,1,12,8
Luke McCaffrey,WAS,receiving,401772936,1,19,19.0,0,19,1
Noah Brown,WAS,receiving,401772936,1,9,9.0,0,9,4
Ben Sinnott,WAS,receiving,401772936,1,7,7.0,0,7,1
Austin Ekeler,WAS,receiving,401772936,2,7,3.5,0,4,4
Jaylin Lane,WAS,receiving,401772936,1,2,2.0,0,2,4
Jacory Croskey-Merritt,WAS,receiving,401772936,0,0,0.0,0,0,1
